"j_nr";"report_id";"accounts_expenses_fee_total";"accounts_expenses_accommodation";"accounts_expenses_meals";"accounts_expenses_pr";"accounts_expenses_backline";"accounts_expenses_local_transport";"accounts_expenses_international_transport";"accounts_expenses_other";"accounts_expenses_total";"accounts_income_fee_total";"accounts_income_grants";"accounts_income_funds";"accounts_income_merchandise";"accounts_income_own_contribution";"accounts_income_other";"accounts_income_estimated_total";"accounts_result";"accounts_comments";"evaluation_further_opportunities";"evaluation_artistic_development";"evaluation_satisfaction"
"A-2023-0207";"A-2023-0207-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fonde: Dansk Komponist Forening  Statens kunstfond  Augustinus fonden Dansk Musiker Forbund William Demant  Andet: Materialer og grej Lokale leje til prøver Administrative udgifter";"I mindre grad";"I meget høj grad";"I høj grad"
"A-2023-0211";"A-2023-0211-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Comment on the project timeline and report:  We had to delay the residency with Daphne and Nathan because we were waiting for other funding bodies to confirm the full production budget of the piece. Therefore, they were not present in person at the Make Sound residency in Malmö, but did nevertheless participate remotely.  The residency at V7 happened in April and was extremely important for the project, a very successful collaboration. We had 5 full workdays as well as our work-in-progress sharing, which was based on invitation to artists in the music, dance, light art and scenography scene in Copenhagen. After we had a long discussion which was very valuable.   I apologise for sending this report way too late! It was my first time receiving this grant and I didn't realise that it had only 1 month deadline. I hope you can excuse it this time. ";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0212";"A-2023-0212-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"In the original estimate, I included both income and expenses of production related income and expenses (ticketsale, backline, etc), which eventually went directly through Reykjavik Art Festival. The budget posts are still the same, but the exact numbers are not listed since they went directly through the festival.   Rehearsals, per diems and other production costs that are not related through the trip itself where funded by Statens Kunstfond and Augustinus Fonden. ";"I meget høj grad";"I meget høj grad";"I høj grad"
"A-2023-0215";"A-2023-0215-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fondsbevilling fra AP Møller på 50.000kr";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0216";"A-2023-0216-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Tusind tak for støtten til dette projekt, jeg har brugt en del mindre end som regnet med :) ";"I høj grad";"I meget høj grad";"I høj grad"
"A-2023-0217";"A-2023-0217-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Legater 10.000 = Art Music Denmark";"I meget høj grad";"I meget høj grad";"I høj grad"
"A-2023-0220";"A-2023-0220-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Honorar: 15000 kr Nordens Hus. Legat: 20000 Netværksaktiviteter Statens Kunstfond. Fonde: 10000 kr Landmangrunnur Landsins. ";"I høj grad";"I høj grad";"I mindre grad"
"A-2023-0223";"A-2023-0223-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0227";"A-2023-0227-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Der blev gennemført færre koncerter end først planlagt, hvorfor indtægter for koncerterne blev mindre end forventet. Grundet budget udfordringer spillede Tara Clerkin Trio kun med på de danske koncerter (København og Aarhus). ";"I høj grad";"I meget høj grad";"I høj grad"
"A-2023-0228";"A-2023-0228-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Lokal transport betales af promoter";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0230";"A-2023-0230-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Kun Honorar og fly er posteret. Silvia fik indlogering og diæt af Det Italiensek Kulturinstitut.";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0235";"A-2023-0235-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I høj grad";"I meget høj grad"
"A-2023-0236";"A-2023-0236-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Andet på indkomster står for støtte fra Musikhuset. Andet på udgifter står for administrativt arbejde for projektleder Isabelle Bania og Christina Herresthal, samt editing af koncert-indspilning. ";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0238";"A-2023-0238-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"FONDE & LEGATER: Statens Kunstfond: 30.000 Københavns Kommune: 20.000 Nørrebro Lokaludvalg: 10.000 Statens Kunstfond  (bestillingshonorar): 80.000 DKF (bestillingshonorar): 20.000 Augustinus Fonden: 20.000 DKF/KODA: 20.000 William Demant Fonden: 20.000 Dansk Musiker Forbund: 5.000 Dansk Artist Forbund: 10.000 Fondet for Dansk-Svensk Samarbejde: 5.000 Direktør Michael Hermann Nielsens mindelegat: 20.000  ANDRE UDGIFTER: KODA: 2.000 Kunstnerisk ledelse: 10.000 Producent: 10.000 Administration: 5.000 Lydtekniker: 10.000 Orgelstemning: 11.253 Lokalomkostninger: 21.000 ";"I meget høj grad";"I meget høj grad";"I høj grad"
"A-2023-0239";"A-2023-0239-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Desværre modtog vi ikke det aftalte honorar fra Kirsten Kjærs Museum som ellers aftalt, og fik i stedet for 3500 kr per person kun udbetalt 4000 kr alt i alt - derfor er honorarindtægterne lavere ved afrapporteringsregnskabet end da vi søgte om støtte tilbage i december 2023.  ";"I høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0242";"A-2023-0242-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Vi har valgt kun at medtage regnskabstal fra Sky in a Small Cage, da de andre projekter ikke endte med at have udgifter til international transport.  Vi har taget Sad Boys ud af projektoverblikket, da forestillingen blev udskudt til 2025  'Andet' under udgiter dækker udgifter til venueleje og prøvelokaleleje";"I høj grad";"I høj grad";"Ved ikke"
"A-2023-0243";"A-2023-0243-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Funding grants: SONICA FESTIVAL provided Fee for artists, lodging and backline rental ";"I meget høj grad";"I meget høj grad";"I høj grad"
"A-2023-0244";"A-2023-0244-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Vores oprindelig ansøgning var til 3 koncerter - til sidst spillede vi 5 koncerter i alt. 2 koncerter i Lissabon og Barcelona med hele Blue Lake band, og 3 koncerter i Amsterdam, Groningen, og Berlin, som var solo Blue Lake koncerter.  Vores bevilleget transportstøtte fra Art Music Danmark var 9.775kr";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0249";"A-2023-0249-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0252";"A-2023-0252-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I meget høj grad";"I høj grad";"I meget høj grad"
"A-2023-0260";"A-2023-0260-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"Ved ikke";"I høj grad"
"A-2024-0004";"A-2024-0004-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Der er indkomne bevillinger fra Augustinus Fonden, Dronning Margrethe og Prins Henriks Fond, William Demant Fonden og Musikforlæggerne.  International transport blev en smule lavere end ansøgt, da kursen ændrede sig mellem købstidspunktet og fakturaafsendelsen.  ""Andet"" indbefatter nodeleje, transport af udstyr, producenthonorar og diverse.";"I høj grad";"I høj grad";"I meget høj grad"
"A-2024-0005";"A-2024-0005-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Jeg troede CTM festivalen ville indberette dette da jeg sendte det til dem, så derfor har jeg ikke gjort noget da jeg har betalt dem for transporten. Nu har jeg opdaget der ikke er gjort noget. Håber virkelig at det kan lade sig gøre med støtten. I har tildelt 1850 kr men jeg kan kun se 300 kr på det i har indtastet.";"I meget høj grad";"I meget høj grad";"I mindre grad"
"A-2024-0006";"A-2024-0006-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fondsbevillinger dækker over alle vores bevillinger, heraf fra:  Wilhelm Hansen Fonden Nordea Fonden Københavns Kommune (underskudsgaranti) Knud Højgaard Fonden Augustinus Fonden Det Obelske Familiefond Louis Hansen Fonden Solistforeningen af 1921 Koda Kultur Projektpulje AP Møller Fonden KODA Kultur (Bestillingsværk Mike Sheridan) Statens Kunstfond (Bestillingsværk Matias Vestergård) INKLUSIV Art Music Denmark  (transportstøtte) Dansk Svensk Fond Beckett Fonden Dansk Tennis Fond Jargar Strings (sponsorat)  Andet indbefatter udgifter til:  Administration Afvikling Leje af venue Grafisk design Fotograf + videograf Og andre øvrige udgifter som ikke falder ind i ovenstående kategorier";"I mindre grad";"I meget høj grad";"I meget høj grad"
"A-2024-0009";"A-2024-0009-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ingen indtægt fra andre fonde.  Bilag Flybilag Norwegian: udrejse, ½-delen af 2078 DKK: 1039 DKK Bilag Flybilag Electronic Ticket... SAS, : hjemrejse, 991 DKK Bilag transfer, taxa (øverst tilhøjre) på 55 Euro  svt. 418 DKK Bilag transfer. taxa (øverst tilvenstre) på 44.10 Euro svt. 305 DKK Bilag Taxa (nederst tilvenstre) Kørsel og instrumenttransport vedr. prøve 1.maj ud på 20 Euros svt. 152 DKK Bilag Taxa (nederst tilhøjre) Kørsel og instrumenttransport vedr. prøve 1.maj hjem på 9,86 Euros svt. 75 DKK ";"I meget høj grad";"I høj grad";"Ved ikke"
"A-2024-0013";"A-2024-0013-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Andre fonde: Culture Moves Europe";"I høj grad";"I høj grad";"I høj grad"
"A-2024-0019";"A-2024-0019-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I meget høj grad";"Ved ikke"
"A-2024-0026";"A-2024-0026-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2050 er fra Koda for overnatning.";"I høj grad";"I høj grad";"I høj grad"
"A-2024-0028";"A-2024-0028-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I meget høj grad";"I høj grad"
"A-2024-0029";"A-2024-0029-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Dansk Komponistforening støtter med 2500 Art Music DK støtter med 1800";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0032";"A-2024-0032-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Eftersom vi fik mange afslag på fondsansøgninger forhandlede vi et højere honorarbeløb (138.339 dkk/ 18.600 Euro) fra festivalen for at dække alle vores udgifter.  Fondsbevillingen fra 10.000 dkr er tilskuddet fra Art Music Denmark. Beløbet i feltet ""andet"" dækker producenthonorar.( P.s. Af en eller anden grund mangler der posten ""andet"" og posten "" internationale udgifter"" i oversigen over det indsendte budget med ansøgningen)";"I meget høj grad";"I meget høj grad";"I mindre grad"
"A-2024-0035";"A-2024-0035-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Tog- og busbilletter: 3.683 DKK Færge: 772 DKK";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0036";"A-2024-0036-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Andet = produktionsudgifter (indeholder også honorarer til arrangør-gruppen. Dette beløb ugøres af det resterende overskud for festivallen) ";"Ved ikke";"I høj grad";"Ved ikke"
"A-2024-0037";"A-2024-0037-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Time of Music Festival covers the lodging";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0039";"A-2024-0039-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"""Andet"" er rejseforsikring Ang. honorar: Der blev holdt to koncerter med klavertrio, derudover medvirkede John Ehde i cellomarathon med andre cellister fra festivalen, hvor han også spillede solo.";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0044";"A-2024-0044-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"overnatning betaltes af promotere, KRAAK festival betalte flybillet Maria Bertel København-> Antwerpen 1 Marts, samt transport Antwerpen Paris. ";"I meget høj grad";"I høj grad";"I høj grad"
"A-2024-0049";"A-2024-0049-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0053";"A-2024-0053-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Koncerterne er foregået i tre kirker som sammen med Det Danske Pigekor har taget sig af PR.  Koncerten blev optaget og transmitteret af DR P2 og nåede ud til ca. 50.000 + de godt 600 tilhører i kirkerne. Fælg. bevillinger: Gentofte Kommune 25.000 Augustinus Fonden 50.000 WH Fonden 20.000 William Demant Fonden 25.000, Statens Kunstfond 80.597, Artmusic DK rejsestøtte 5.000 Andet: Nodekøb 4.500 KODA (kun Christians Kirken 276, Lokaleleje 2.120, Adm, bogholder, revision 14.000.";"I høj grad";"I høj grad";"I høj grad"
"A-2024-0056";"A-2024-0056-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I høj grad";"I mindre grad"
"A-2024-0062";"A-2024-0062-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Det er en del omregninger mellem yen, norske, svenske og danske kroner ";"I meget høj grad";"I høj grad";"Ved ikke"
"A-2024-0069";"A-2024-0069-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I meget høj grad";"I høj grad";"Ved ikke"
"A-2024-0073";"A-2024-0073-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I høj grad";"I høj grad"
"A-2024-0078";"A-2024-0078-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"Ved ikke";"I høj grad"
"A-2024-0079";"A-2024-0079-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I meget høj grad";"I høj grad"
"A-2024-0083";"A-2024-0083-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"I meget høj grad"
"A-2024-0087";"A-2024-0087-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I høj grad";"I høj grad"
"A-2024-0089";"A-2024-0089-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0090";"A-2024-0090-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"* Int. transp. inkl... --> 2x 662 SEK for dirigent Rei Munakata's transport mellem Mölndal (SE) og Nørreport (DK) (tur-retur) * Andet (udsp...) --> indkøb af udstyr, gadgets, objekter, værktøj med mere (mikrofoner 635, SD-kort 147, fiskeline 75, stearinlys 50, vandtank 149, akvarium 250, spilledåser 681, røgmaskine 249)";"Ved ikke";"I meget høj grad";"I høj grad"
"A-2024-0095";"A-2024-0095-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I meget høj grad";"I høj grad"
"A-2024-0097";"A-2024-0097-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fondsbevillinger: Statens Kunstfond";"I høj grad";"I høj grad";"I meget høj grad"
"A-2024-0101";"A-2024-0101-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Da vi ikke var ansvarlige for at betale honorar for koncerterne, og efter at have bedt den svenske bestyrelse om tallene, men endnu ikke fået svar, har vi afsluttet regnskabet uden at medtage honorartallene  Arrangementet med Snæfríður Björnsdóttir blev aflyst på grund af dødsfald. Derfor rejste hun ikke til Örebro, så vi brugte ikke alle de penge, som Art Music Denmark havde bevilget.  Andet intægter - Der er søgt 4x bestyrelsesmedlemmer gennem KODAs rejselegatspulje (vi har ikke fået svar endnu). 5.600 er søgt gennem en efterfølgende Art Music Denmark-ansøgning med journalnummer: A-2024-0202 (vi har ikke fået svar endnu)  Legater - 5x deltagere modtog koda/dkf-rejsestipendier  Fondsbevillinger - 2871kr Art Music Denmark bevilling (denne ansøgning)  Udgifter: International transport - 2,289 kr. er det samlede beløb for rejser for deltagere, der er nævnt i denne ansøgning  Overskuddet på 531 kr. kan AMD beholde. Vi mangler kun at få udbetalt 2289 kr. i forbindelse med denne ansøgning. ";"I høj grad";"I høj grad";"I høj grad"
"A-2024-0103";"A-2024-0103-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ved ikke";"I høj grad";"I meget høj grad"
"A-2024-0104";"A-2024-0104-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"International transport dækker fly og transfer fra lufthavnen. Fondsbevilling fra DKF";"Ved ikke";"I høj grad";"I høj grad"
"A-2024-0105";"A-2024-0105-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Egenfinansering er bidrag fra Sound Art Lab = 4200 kr Andet = Støtte fra Art Music Denmark  International transport:  Tog Berlin - Struer (retur) = 220,20 EUR Fly Berlin - København (retur) = 218,47 EUR = 3283 DKK   Andet Diæter = 3911 kr Uforudsete udgifter: Affugter = 1600 kr Lokale (Sound Art Lab - in kind) = 2100 kr Diverse uforudsete = 614 kr Bogholder og admin = 2000 kr Bank konto = 3000 kr";"I høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0106";"A-2024-0106-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"KODA Legat (5.625) blev brugt til at betale udgifter i Majs Kunstnerisk Ophold";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0114";"A-2024-0114-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0117";"A-2024-0117-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0122";"A-2024-0122-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0123";"A-2024-0123-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ved ikke";"I meget høj grad";"I mindre grad"
"A-2024-0125";"A-2024-0125-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Som aftalt er resten af pengene blevet brugt til delvist at dække transporten af yderligere to kunstnere (Iina Johanson og Dany Levy), der bidrager med det til projektet";"I høj grad";"I høj grad";"I høj grad"
"A-2024-0126";"A-2024-0126-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0133";"A-2024-0133-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I meget høj grad";"I høj grad"
"A-2024-0135";"A-2024-0135-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fondsbevillinger = bestillingshonorarer. Legater = rejselegat fra DKF/KODA";"I høj grad";"I høj grad";"I høj grad"
"A-2024-0138";"A-2024-0138-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0140";"A-2024-0140-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Jeg har fået funding fra DKF der dækker mine hotelovernatninger ";"I høj grad";"I høj grad";"I høj grad"
"A-2024-0141";"A-2024-0141-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I høj grad"
"A-2024-0143";"A-2024-0143-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0149";"A-2024-0149-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ved ikke";"I høj grad";"Ved ikke"
"A-2024-0152";"A-2024-0152-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Ved ikke";"I høj grad";"I meget høj grad"
"A-2024-0155";"A-2024-0155-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"Ved ikke"
"A-2024-0156";"A-2024-0156-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0158";"A-2024-0158-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"I høj grad"
"A-2024-0164";"A-2024-0164-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0166";"A-2024-0166-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I meget høj grad";"I høj grad"
"A-2024-0169";"A-2024-0169-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0170";"A-2024-0170-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I høj grad"
"A-2024-0174";"A-2024-0174-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0175";"A-2024-0175-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"I meget høj grad"
"A-2024-0176";"A-2024-0176-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0178";"A-2024-0178-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"Ved ikke"
"A-2024-0179";"A-2024-0179-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0180";"A-2024-0180-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"Ved ikke"
"A-2024-0183";"A-2024-0183-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I meget høj grad";"I høj grad"
"A-2024-0186";"A-2024-0186-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0187";"A-2024-0187-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0191";"A-2024-0191-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"I høj grad"
"A-2024-0194";"A-2024-0194-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2024-0201";"A-2024-0201-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I høj grad";"I høj grad"
"A-2024-0202";"A-2024-0202-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"I høj grad"
"A-2024-0203";"A-2024-0203-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"I meget høj grad"
"A-2024-0204";"A-2024-0204-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I høj grad";"I høj grad";"I høj grad"
"A-2024-0205";"A-2024-0205-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"I meget høj grad";"I meget høj grad";"I mindre grad"
