"j_nr";"report_id";"accounts_expenses_fee_total";"accounts_expenses_accommodation";"accounts_expenses_meals";"accounts_expenses_pr";"accounts_expenses_backline";"accounts_expenses_local_transport";"accounts_expenses_international_transport";"accounts_expenses_other";"accounts_expenses_total";"accounts_income_fee_total";"accounts_income_grants";"accounts_income_funds";"accounts_income_merchandise";"accounts_income_own_contribution";"accounts_income_other";"accounts_income_estimated_total";"accounts_result";"accounts_comments";"evaluation_further_opportunities";"evaluation_artistic_development";"evaluation_satisfaction"
"T-2023-0052";"T-2023-0052-RE1";0;5213;13370;0;0;0;49583;0;68166;67538;0;35000;17000;0;0;119538;-51372;"-";"I høj grad";"I meget høj grad";"I høj grad"
"T-2023-0053";"T-2023-0053-RE1";30000;1837;8600;0;0;0;16204;7647;64288;51000;0;0;3500;0;0;54500;9788;"Posten ""Andet"" dækker over udgifter til billeje";"I meget høj grad";"I meget høj grad";"I høj grad"
"T-2023-0054";"T-2023-0054-RE1";0;4406;0;0;0;0;16762;0;21168;4526;0;0;0;0;0;4526;16642;"-";"Ved ikke";"Ved ikke";"I mindre grad"
"T-2023-0061";"T-2023-0061-RE1";34800;0;0;0;0;1731;7293;0;43824;25095;0;0;2500;8936;0;36531;7293;"-";"I høj grad";"I høj grad";"I mindre grad"
"T-2023-0063";"T-2023-0063-RE1";9262;0;0;0;0;424;0;0;9686;17347;0;0;0;0;0;17347;-7661;"-";"I meget høj grad";"Ved ikke";"I høj grad"
"T-2023-0068";"T-2023-0068-RE1";18019;11554;0;0;1471;281;22818;8140;62283;22524;0;33000;0;6759;0;62283;0;"Fondsbevillinger: DMF: kr. 5.000,- Tempi: kr. 20.000,- Statens Kunstfond Orkesterstøtte: kr. 8.000  Andet: ETA: kr. 74,- Deltagelse i konference: kr. 1736,- Forsikring af lejet udstyr: kr. 46,- Kurstab ved veksling af CAD til DKK: kr. 1.779,-";"I meget høj grad";"I høj grad";"Ved ikke"
"T-2023-0069";"T-2023-0069-RE1";0;0;3500;712;700;1345;15091;0;21348;38989;0;0;10407;0;0;49396;-28048;"-";"I meget høj grad";"I meget høj grad";"I høj grad"
"T-2023-0071";"T-2023-0071-RE1";28779;0;0;300;0;500;4371;5000;38950;28779;0;0;0;5000;0;33779;5171;"Andet dækker over leje af koncertkirken inkl. tekniker ";"I høj grad";"I høj grad";"I høj grad"
"T-2023-0074";"T-2023-0074-RE1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"-";"I meget høj grad";"I meget høj grad";"I høj grad"
"T-2023-0076";"T-2023-0076-RE1";50000;5000;6000;1000;0;1000;20111;0;83111;50000;0;0;0;0;13416;63416;19695;"-";"I høj grad";"I høj grad";"I høj grad"
"T-2023-0077";"T-2023-0077-RE1";0;5000;2000;0;0;1000;3800;0;11800;0;0;0;0;8000;0;8000;3800;"-";"I høj grad";"Ved ikke";"I meget høj grad"
"T-2023-0078";"T-2023-0078-RE1";0;0;14000;5000;0;120;25527;0;44647;126000;0;0;7000;0;0;133000;-88353;"-";"I meget høj grad";"I meget høj grad";"I høj grad"
"T-2023-0079";"T-2023-0079-RE1";108800;3000;8920;0;0;13560;27184;12308;173772;128918;0;55000;7950;0;0;191868;-18096;"Fondsbevillinger: Tempi 25.000 kr. Musikpuljen 30.000 kr. Andet: Visum 2980 kr. Pas 3697 kr. Rejseforsikringer 5631 kr.";"Ved ikke";"I meget høj grad";"I mindre grad"
"T-2023-0081";"T-2023-0081-RE1";48720;0;2753;1154;0;0;14682;0;67309;52500;0;0;847;0;0;53347;13962;"-";"I høj grad";"I høj grad";"I høj grad"
"T-2023-0082";"T-2023-0082-RE1";4600;0;1500;2300;0;750;7802;0;16952;11195;0;0;0;0;0;11195;5757;"We had only one gig, at the Oasis Festival, and managed to stay at a friends house for a few nights. Which is why our budget looks slightly different than the initial proposal, with less travel within Morocco than expected. We also did the photo shoot with Hassan Hajjaj and it was at the festival sight. So we did not have as much expense for travel within Morocco, as expected. ";"I høj grad";"I meget høj grad";"I høj grad"
"T-2023-0083";"T-2023-0083-RE1";24500;0;0;0;0;0;3202;0;27702;24500;0;0;0;0;0;24500;3202;"-";"I høj grad";"I høj grad";"I meget høj grad"
"T-2023-0084";"T-2023-0084-RE1";0;3144;0;0;0;0;7161;0;10305;0;0;0;0;0;0;0;10305;"Mailen med bevilling var røget i spam. Beklager den sene rapportering.";"I meget høj grad";"I høj grad";"I meget høj grad"
"T-2023-0086";"T-2023-0086-RE1";10000;700;0;0;0;0;1902;0;12602;0;0;9600;0;1402;0;11002;1600;"Fondsbevilling fra Odder Kulturpujle";"I høj grad";"I høj grad";"I høj grad"
"T-2023-0090";"T-2023-0090-RE1";0;9344;10500;3500;0;0;21871;7525;52740;68020;0;0;3800;0;0;71820;-19080;"Udgifter som er anført under ""Andet"" dækker 1/4 af udgifterne til vores P3 arbejdsvisum (i alt 30.101,-).";"I meget høj grad";"I meget høj grad";"I høj grad"
"T-2023-0091";"T-2023-0091-RE1";0;2862;0;0;0;0;44499;0;47361;5000;0;20000;0;0;0;25000;22361;" ""Fondsbevillinger"" Vi har fået 20.000 kr. af 'Akut Markedspulje' fra DPA til at dække diverse udgifter.  Derudover kan jeg kan se at der er sket en fejl, i form af en misforståelse fra vores side af. I bilaget "Økonomi" i den fremsendte ansøgning, beskriver jeg en udgiftspost som "Benzin til Minivan" på 7.000 kr. Dette skulle have været "Leje af Minivan" i stedet for, som endte på 7.205 kr. Dette skulle naturligvis også have været indberettet på den officielle liste over udgifter under "International transport inkl. lokal transport i udlandet". Dette har vi forstået som værende flybilletter kun, men da vi har brugt det som transport af crew og gear i størstedelen af vores tur, er det selvfølgelig en vigtigt udgiftspost. Vi beklager forvirringen.  ";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"T-2023-0092";"T-2023-0092-RE1";0;9336;0;0;0;1067;10631;1633;22667;0;3000;10631;0;9036;0;22667;0;"Legater: Autor: 3000 kr Legater: Tempi: 10.631 kr (bevilget 12.700 kr) Andet: konferencegebyr: 805 kr Andet: leje af guitar: 828 kr";"I høj grad";"Ved ikke";"Ved ikke"
"T-2023-0094";"T-2023-0094-RE1";15000;5680;3000;2000;0;500;16815;0;42995;11000;14000;0;0;3000;0;28000;14995;"I included 14.000 DKK granted by MXD in my accounting Legater";"I meget høj grad";"I meget høj grad";"I høj grad"
"T-2023-0096";"T-2023-0096-RE1";0;0;2000;0;0;600;4560;0;7160;9100;0;0;0;0;0;9100;-1940;"-";"I høj grad";"I høj grad";"I høj grad"
"T-2023-0097";"T-2023-0097-RE1";4650;3000;500;0;0;0;10430;0;18580;4650;7430;0;0;0;0;12080;6500;"Vi fik efter at have søgt transportstøtte hos Tempi også tilskud fra DPAs akutpulje. Til gengæld havde vi ekstra udgifter til hotel, da festivalen ikke dækkede så mange nætter som aftalt.";"Ved ikke";"I høj grad";"I meget høj grad"
"T-2023-0098";"T-2023-0098-RE1";12973;0;1500;0;0;432;9480;0;24385;12973;0;0;1000;0;0;13973;10412;"Beløbet i `International tranport` dækker: Flybillet 5480 kr  samt bil leje 4000 kr. (Da vi blev tre ekstra dage på Island, har jeg trukket ca. halvdelen af bil lejen ud til privat brug).";"I høj grad";"I meget høj grad";"I høj grad"
"T-2023-0099";"T-2023-0099-RE1";19980;28220;5788;10000;4826;1064;43680;5000;118558;122850;0;0;12135;0;0;134985;-16427;"-";"I høj grad";"I meget høj grad";"I høj grad"
"T-2023-0101";"T-2023-0101-RE1";0;0;0;0;0;0;13244;671;13915;0;0;0;0;0;0;0;13915;"Jeg er i tvivl om vi kan få dækket vores parkering i Billund som er 910 kr? ";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"T-2023-0104";"T-2023-0104-RE1";0;1500;2000;0;0;300;8927;0;12727;4300;0;0;0;8427;0;12727;0;"-";"I høj grad";"I meget høj grad";"I meget høj grad"
"T-2023-0110";"T-2023-0110-RE1";14460;3000;1500;1000;0;1164;9967;0;31091;5400;0;7500;0;8000;0;20900;10191;"Udgifter til honorar delvist dækket af fondsbevillinger, delvist skrevet ind som egenbetaling";"I meget høj grad";"I meget høj grad";"I høj grad"
"T-2023-0111";"T-2023-0111-RE1";55535;2609;0;0;0;2601;10245;0;70990;55535;0;18428;6709;0;0;80672;-9682;"Vi endte kun med at have udgifter for 10.245 kr. Dette skyldes at vi havde regnet med at skulle køre i to biler, men endte med kun at køre i en bil.   En af vores kærester kom ned til os i Berlin og kvitteringerne for at rejse med S-bhan er også vedhæftet  i dokumentet, det skal dog siges at hans billetter ikke er regnet ind i regnskabet, kvitteringerne var svære at dele, så derfor er de kommet med i vedhæftningerne. ";"I meget høj grad";"I høj grad";"I høj grad"
"T-2024-0007";"T-2024-0007-RE1";58429;4829;5000;0;0;0;18255;0;86513;12884;0;19767;0;0;0;32651;53862;"Helge Ax:son Johnsons stiftelse har finansieret med 30.000 SEK. Center for Louisiana Studies honorerede vores arbejde med arkiv indspilninger med 1500$.";"I meget høj grad";"I meget høj grad";"I høj grad"
"T-2024-0010";"T-2024-0010-RE1";0;0;0;750;0;0;5927;0;6677;13379;0;0;0;0;0;13379;-6702;"--";"I høj grad";"I mindre grad";"I høj grad"
"T-2024-0011";"T-2024-0011-RE1";21000;0;0;0;0;349;18445;0;39794;22500;0;0;0;0;7500;30000;9794;"Andet dækker over rejsestøtte formidlet af Den Danske Ambassade i Athen";"I høj grad";"I høj grad";"Ved ikke"
"T-2024-0014";"T-2024-0014-RE1";33000;0;0;0;500;0;34000;0;67500;48458;0;0;0;8042;0;56500;11000;"VIGTIGT:Støtten skal udbetales til mit firma Word for Word Records - CVR nr. 25216695. Reg.nr. 4400 konto 4400547874.";"I høj grad";"I høj grad";"Ved ikke"
"T-2024-0018";"T-2024-0018-RE1";38388;1098;0;1083;0;0;11917;0;52486;31947;0;0;8900;1639;0;42486;10000;"-";"I høj grad";"I mindre grad";"I høj grad"
"T-2024-0024";"T-2024-0024-RE1";0;0;0;0;0;0;12408;0;12408;33000;0;0;0;0;0;33000;-20592;"-";"I høj grad";"I høj grad";"I høj grad"
"T-2024-0026";"T-2024-0026-RE1";18000;0;4457;0;0;0;6593;1603;30653;18000;0;0;0;4457;0;22457;8196;"Beløbet under ""Andet"" er kørsel i egen bil i DK Øksendrup-Hirtshals - i alt 719 km = 1603,37 kr.";"I høj grad";"I høj grad";"I høj grad"
"T-2024-0031";"T-2024-0031-RE1";0;0;2927;0;0;1282;3199;0;7408;18637;0;0;0;0;0;18637;-11229;"Der er meget få udgifter til lokal transport og overnatning, da dette blev dækket af bookingbureauet Uus Kontsert. Da koncerterne var i det sydlige Estland, valgte Sune Pors at rejse via Riga, som var billigere, og sammenfaldt med en liftmulighed den ene vej.";"I mindre grad";"Ved ikke";"I høj grad"
"T-2024-0036";"T-2024-0036-RE1";24030;0;0;0;0;1743;4550;0;30323;13000;0;0;2500;10273;4550;30323;0;"Under intægter har jeg skrevet den bevilgede transportstøtte fra Tempi under ""Andet""";"I høj grad";"Ved ikke";"I høj grad"
"T-2024-0039";"T-2024-0039-RE1";37205;0;0;0;0;374;12516;0;50095;37208;0;0;0;0;0;37208;12887;"Lokal transport DK:  Tog billetter Kbh-Odense + Vejle-Skive 374 kr. Transport Odense-Rudolstadt: 1. bil: Odense-Rudolstadt t/r 1517 km.  2. bil: Thurø-Rudolstadt (via Bøjden-Fynshav) t/r 1458 km. Færge Bøjden-Fynshav t/r 635 kr.  Lokal transport i Rudolstadt - Hotel Bad Blankenburg 8 x t/r á 20 km. 160 km. ialt. Km. i alt: 3135 km. x 3,79 kr.: 11.881,65 Transport udland ialt: 12516 kr. ";"I meget høj grad";"I meget høj grad";"I høj grad"
"T-2024-0042";"T-2024-0042-RE1";0;2676;1710;0;0;309;3914;0;8609;6675;0;0;0;0;4386;11061;-2452;"Andet: Overnatning og per diem dækket af Marieke van Raansbeeck.  Den højere samlede indtægt koncerter skyldes højere samlet lønning fra Marieke. Flyet fra Billund til Stansted blev aflyst, og der blev omdirigeret til et fly fra CPH til Bristol. Der er derfor en ekstraudgift på shuttlebus fra bristol lufthavn til bristol by.";"I meget høj grad";"Ved ikke";"I høj grad"
"T-2024-0043";"T-2024-0043-RE1";24000;0;0;0;0;0;9166;0;33166;24000;0;0;0;0;7500;31500;1666;"underskud dækkes af egenfinanciering";"I høj grad";"I høj grad";"I høj grad"
"T-2024-0044";"T-2024-0044-RE1";0;2000;2100;0;4875;612;11653;0;21240;14875;0;0;600;0;0;15475;5765;"-";"I høj grad";"I høj grad";"Ved ikke"
"T-2024-0047";"T-2024-0047-RE1";0;0;800;0;0;500;9330;0;10630;14924;0;0;0;0;0;14924;-4294;"-";"I høj grad";"I høj grad";"I høj grad"
"T-2024-0050";"T-2024-0050-RE1";0;0;5000;0;0;120;15276;0;20396;26300;0;0;700;0;0;27000;-6604;"-";"I meget høj grad";"I høj grad";"I høj grad"
"T-2024-0052";"T-2024-0052-RE1";58404;0;0;7700;0;702;26314;2208;95328;66468;0;0;0;18860;0;85328;10000;"Jf. ""andre udgifter"" kr. 2.208,-  Udgiften dækker over omkostninger til UK arbejdsvisum.";"I meget høj grad";"I meget høj grad";"I meget høj grad"
