"j_nr";"participant_group_id";"participant_gender_group";"participant_age_under18";"participant_age_18_24";"participant_age_25_29";"participant_age_30_39";"participant_age_40_49";"participant_age_50_59";"participant_age_60_over"
"A-2023-0209";"A-2023-0209-PG1";"Mænd";0;0;0;2;1;0;0
"A-2023-0209";"A-2023-0209-PG2";"Kvinder";0;0;0;2;0;0;0
"A-2023-0211";"A-2023-0211-PG1";"Mænd";0;0;1;0;0;0;0
"A-2023-0211";"A-2023-0211-PG2";"Kvinder";0;0;0;1;0;0;0
"A-2023-0212";"A-2023-0212-PG1";"Mænd";0;0;0;1;0;0;0
"A-2023-0212";"A-2023-0212-PG2";"Kvinder";0;0;3;0;0;0;0
"A-2023-0213";"A-2023-0213-PG1";"Mænd";0;0;0;0;1;1;0
"A-2023-0214";"A-2023-0214-PG1";"Mænd";0;0;0;0;1;0;0
"A-2023-0215";"A-2023-0215-PG1";"Mænd";0;0;0;0;0;0;1
"A-2023-0215";"A-2023-0215-PG2";"Kvinder";0;0;0;0;1;2;0
"A-2023-0216";"A-2023-0216-PG1";"Mænd";0;0;0;1;0;0;0
"A-2023-0217";"A-2023-0217-PG1";"Mænd";0;2;1;1;1;0;0
"A-2023-0217";"A-2023-0217-PG2";"Kvinder";0;3;0;1;0;0;0
"A-2023-0218";"A-2023-0218-PG1";"Kvinder";0;0;0;0;1;0;0
"A-2023-0218";"A-2023-0218-PG2";"Mænd";0;0;0;0;2;0;0
"A-2023-0219";"A-2023-0219-PG1";"Kvinder";0;0;0;1;1;0;0
"A-2023-0220";"A-2023-0220-PG1";"Mænd";0;0;0;2;0;0;0
"A-2023-0220";"A-2023-0220-PG2";"Kvinder";0;0;0;2;0;0;0
"A-2023-0221";"A-2023-0221-PG1";"Mænd";0;0;0;2;0;0;0
"A-2023-0222";"A-2023-0222-PG1";"Mænd";0;0;0;5;1;0;0
"A-2023-0223";"A-2023-0223-PG1";"Kvinder";0;0;0;0;1;0;0
"A-2023-0223";"A-2023-0223-PG2";"Kvinder";0;0;0;0;1;0;0
"A-2023-0223";"A-2023-0223-PG3";"Mænd";0;0;0;0;1;0;0
"A-2023-0224";"A-2023-0224-PG1";"Kvinder";0;0;0;0;0;0;0
"A-2023-0225";"A-2023-0225-PG1";"Mænd";0;0;0;0;0;1;0
"A-2023-0225";"A-2023-0225-PG2";"Mænd";0;3;0;0;0;0;0
"A-2023-0225";"A-2023-0225-PG3";"Kvinder";0;9;0;0;0;0;0
"A-2023-0226";"A-2023-0226-PG1";"Kvinder";0;0;0;0;1;0;0
"A-2023-0227";"A-2023-0227-PG1";"Mænd";0;0;1;1;0;0;0
"A-2023-0227";"A-2023-0227-PG2";"Kvinder";0;0;2;2;0;0;0
"A-2023-0228";"A-2023-0228-PG1";"Kvinder";0;0;1;2;0;0;0
"A-2023-0229";"A-2023-0229-PG1";"Mænd";0;6;4;4;1;0;1
"A-2023-0229";"A-2023-0229-PG2";"Kvinder";0;6;3;2;0;0;0
"A-2023-0230";"A-2023-0230-PG1";"Mænd";0;0;0;1;1;0;1
"A-2023-0230";"A-2023-0230-PG2";"Kvinder";0;0;0;2;1;1;0
"A-2023-0231";"A-2023-0231-PG1";"Kvinder";0;0;1;0;0;0;0
"A-2023-0231";"A-2023-0231-PG2";"Mænd";0;0;1;0;0;0;0
"A-2023-0232";"A-2023-0232-PG1";"Mænd";0;0;0;1;0;2;2
"A-2023-0232";"A-2023-0232-PG2";"Kvinder";0;0;0;0;1;0;0
"A-2023-0233";"A-2023-0233-PG1";"Mænd";0;0;0;0;1;0;0
"A-2023-0234";"A-2023-0234-PG1";"Mænd";0;0;1;0;0;0;0
"A-2023-0234";"A-2023-0234-PG2";"Kvinder";0;1;3;0;0;0;0
"A-2023-0235";"A-2023-0235-PG1";"Mænd";0;0;0;1;2;0;0
"A-2023-0235";"A-2023-0235-PG2";"Kvinder";0;0;0;0;1;0;0
"A-2023-0236";"A-2023-0236-PG1";"Mænd";0;0;2;0;0;0;0
"A-2023-0236";"A-2023-0236-PG2";"Kvinder";0;0;3;3;0;0;0
"A-2023-0237";"A-2023-0237-PG1";"Mænd";0;0;0;2;4;4;0
"A-2023-0237";"A-2023-0237-PG2";"Kvinder";0;0;0;3;4;2;0
"A-2023-0238";"A-2023-0238-PG1";"Non-binær";0;0;0;1;0;0;0
"A-2023-0238";"A-2023-0238-PG2";"Mænd";0;0;1;4;4;2;0
"A-2023-0238";"A-2023-0238-PG3";"Kvinder";0;0;3;3;3;1;0
"A-2023-0239";"A-2023-0239-PG1";"Kvinder";0;0;0;3;2;0;0
"A-2023-0240";"A-2023-0240-PG1";"Non-binær";0;0;0;1;0;0;0
"A-2023-0241";"A-2023-0241-PG1";"Mænd";0;0;0;2;1;0;0
"A-2023-0241";"A-2023-0241-PG2";"Kvinder";0;0;0;2;0;0;0
"A-2023-0242";"A-2023-0242-PG1";"Mænd";0;0;3;4;2;1;0
"A-2023-0242";"A-2023-0242-PG2";"Kvinder";0;0;2;5;1;1;0
"A-2023-0243";"A-2023-0243-PG1";"Kvinder";0;0;0;1;0;0;0
"A-2023-0243";"A-2023-0243-PG2";"Mænd";0;0;2;1;1;0;0
"A-2023-0244";"A-2023-0244-PG1";"Kvinder";0;0;0;2;0;0;0
"A-2023-0244";"A-2023-0244-PG2";"Mænd";0;0;0;2;1;0;0
"A-2023-0245";"A-2023-0245-PG1";"Mænd";0;0;4;0;0;0;0
"A-2023-0245";"A-2023-0245-PG2";"Kvinder";0;0;3;3;0;0;0
"A-2023-0246";"A-2023-0246-PG1";"Mænd";0;0;0;0;2;5;0
"A-2023-0246";"A-2023-0246-PG2";"Kvinder";0;0;0;2;3;2;1
"A-2023-0247";"A-2023-0247-PG1";"Mænd";0;0;0;1;0;0;0
"A-2023-0247";"A-2023-0247-PG2";"Kvinder";0;0;0;0;1;0;0
"A-2023-0247";"A-2023-0247-PG3";"Non-binær";0;0;0;1;0;0;0
"A-2023-0248";"A-2023-0248-PG1";"Mænd";0;0;1;0;0;0;0
"A-2023-0249";"A-2023-0249-PG1";"Kvinder";0;0;1;0;0;0;0
"A-2023-0250";"A-2023-0250-PG1";"Mænd";0;0;0;1;0;0;0
"A-2023-0251";"A-2023-0251-PG1";"Ønsker ikke at besvare";0;0;0;0;0;0;0
"A-2023-0251";"A-2023-0251-PG2";"Ønsker ikke at besvare";0;0;0;0;0;0;0
"A-2023-0252";"A-2023-0252-PG1";"Mænd";0;0;0;1;0;0;0
"A-2023-0252";"A-2023-0252-PG2";"Kvinder";0;0;0;1;0;0;0
"A-2023-0253";"A-2023-0253-PG1";"Ønsker ikke at besvare";0;0;0;1;0;0;0
"A-2023-0254";"A-2023-0254-PG1";"Mænd";0;0;1;0;0;0;0
"A-2023-0255";"A-2023-0255-PG1";"Kvinder";0;0;2;0;0;0;0
"A-2023-0256";"A-2023-0256-PG1";"Non-binær";0;1;0;0;0;0;0
"A-2023-0257";"A-2023-0257-PG1";"Mænd";0;0;0;0;1;0;0
"A-2023-0257";"A-2023-0257-PG2";"Non-binær";0;0;0;1;0;0;0
"A-2023-0258";"A-2023-0258-PG1";"Mænd";0;0;1;2;0;0;0
"A-2023-0259";"A-2023-0259-PG1";"Kvinder";0;0;0;2;0;0;0
"A-2023-0260";"A-2023-0260-PG1";"Kvinder";0;0;0;1;0;0;0
"A-2023-0260";"A-2023-0260-PG2";"Mænd";0;0;0;0;1;0;1
"A-2023-0261";"A-2023-0261-PG1";"Mænd";0;0;0;0;1;0;0
"A-2023-0261";"A-2023-0261-PG2";"Non-binær";0;0;0;1;0;0;0
"A-2024-0001";"A-2024-0001-PG1";"Mænd";0;0;9;6;1;0;1
"A-2024-0001";"A-2024-0001-PG2";"Kvinder";0;0;6;5;0;0;0
"A-2024-0002";"A-2024-0002-PG1";"Mænd";0;0;0;0;0;2;0
"A-2024-0003";"A-2024-0003-PG1";"Mænd";0;0;0;1;0;0;0
"A-2024-0004";"A-2024-0004-PG1";"Mænd";0;2;4;9;0;2;2
"A-2024-0004";"A-2024-0004-PG2";"Kvinder";0;2;3;10;4;1;1
"A-2024-0005";"A-2024-0005-PG1";"Kvinder";0;0;0;0;1;0;0
"A-2024-0006";"A-2024-0006-PG1";"Kvinder";0;0;9;1;0;0;0
"A-2024-0006";"A-2024-0006-PG2";"Mænd";0;3;12;3;0;0;0
"A-2024-0007";"A-2024-0007-PG1";"Kvinder";0;1;1;0;0;0;0
"A-2024-0007";"A-2024-0007-PG2";"Mænd";0;0;2;0;0;0;0
"A-2024-0008";"A-2024-0008-PG1";"Kvinder";0;0;1;0;0;0;0
"A-2024-0009";"A-2024-0009-PG1";"Mænd";0;0;0;0;0;0;1
"A-2024-0010";"A-2024-0010-PG1";"Ønsker ikke at besvare";0;0;0;0;0;0;0
"A-2024-0011";"A-2024-0011-PG1";"Mænd";0;0;0;0;0;0;0
"A-2024-0012";"A-2024-0012-PG1";"Kvinder";0;0;2;2;0;0;0
"A-2024-0013";"A-2024-0013-PG1";"Mænd";0;0;0;1;0;0;0
"A-2024-0014";"A-2024-0014-PG1";"Mænd";0;0;0;0;0;1;0
"A-2024-0014";"A-2024-0014-PG2";"Mænd";0;0;0;0;1;0;0
"A-2024-0015";"A-2024-0015-PG1";"Kvinder";0;0;2;2;0;0;0
"A-2024-0016";"A-2024-0016-PG1";"Mænd";0;0;0;1;2;1;0
